inchikey,std_smiles,pchembl_DprE1,pchembl_InhA,pchembl_KasA
GDWUUICQMQDJMP-ZRDIBKRKSA-N,CCCCOc1ccc(/C=C/C(=O)NO)c(-c2ccccc2)c1,,,6.54
GEBDTLNMVKZFRC-UHFFFAOYSA-N,COc1ccc(-c2ccc3c(NC(=O)CCCCCCC(=O)NO)n[nH]c3c2)cc1OC,,,8.49
GEKZXTDEIVOYAS-UKTHLTGXSA-N,COc1cc(-c2nc3cc(/C=C/C(=O)NO)ccc3n2CCCO)ccc1OCc1ccccc1,,,6.1
GEOAWVCOBSLRNC-JXGRFAEPSA-N,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]4[C@@H](O)C[C@]23C)O1,,5.41,
GEOUYMKMXWZOHL-LZHZYYANSA-N,CCCCC[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1cccc2ccccc12)CS(=O)(=O)C(C)(C)C)C(C)C)[C@@H](O)[C@H](O)[C@@H](CCCCC)NC(=O)[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)CS(=O)(=O)C(C)(C)C)C(C)C,,9.0,
GEQGQSGZSULAAO-PRRPSOCTSA-N,CC1(C)CC[C@]2(C(=O)OCc3ccccc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](OC(=O)CCCC(=O)O)[C@H](OC(=O)CCCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,,5.41,
GESBEDAZDXKNGG-UHFFFAOYSA-N,CCCCN(Cc1ccc(C(=O)NO)cc1)C(=O)Nc1ccc(CN)cc1,,,6.21
GETZRYDXTVBXFS-JHOUSYSJSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(C(=O)N(C)Cc3csc(C)n3)c2)cc1,,10.0,
GFEBTUQSIHJLIH-UHFFFAOYSA-N,CC(=O)SCCCCCCNC(=O)c1cc(-c2ccc(F)cc2)nn1C,,,5.38
GFMBZKSOOBYSIH-VPUSJEBWSA-N,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC)CC2)c1ncc(-c2cc3ccccc3nc2OC)o1,,,4.8
GGCSQMNZKHRBJW-UHFFFAOYSA-N,CCOc1ccc(CNc2nc3cc(C(F)(F)F)ccc3nc2C(=O)O)cc1,7.06,,
GGMOUZLNXHMKPT-JXGRFAEPSA-N,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4[C@@H](OC(=O)CC(C)(C)C(=O)O)C[C@]23C)O1,,5.57,
GGOAKCVNIHNGKZ-LFMLPYNYSA-N,CC(O)[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)CS(=O)(=O)C(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](Cc1cccc2ccccc12)CS(=O)(=O)C(C)(C)C)C(C)O,,9.52,
GGOMUUCAQVUHPY-WOJGMQOQSA-N,CN(C)c1ccc(C(=O)N/N=C/c2cccc(C(=O)NO)c2)cc1,,,5.66
GGONHNYGVKPNSO-RGEXLXHISA-N,CNC(=O)/C(CCCCCCC(=O)Nc1ccccc1)=N\O,,,4.655
GGTBWSHAZPXYLQ-RXQXDSFGSA-N,CCN[C@H]1CO[C@@H]2OC[C@H](OC(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc(OC)cc3)[C@@H]21,,10.57,
GGUKVRFXQZAYBS-LOSJGSFVSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)Cn2cnc3c(OC)ncnc32)cc1,,6.75,
GHCWLYKERZOPPW-KBPBESRZSA-N,O=C(CCCCC[C@H](NC(=O)[C@@H]1CC(=O)N1)C(=O)Nc1ccccc1)NO,,,6.945
GHOCIVMLAZGKCO-UHFFFAOYSA-N,CC(C)(C)c1ccc(CN(Cc2ccc(C(=O)NO)cc2)S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1,,,7.17
GHRJLZLPJSUIDV-KECWCRPSSA-N,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N1CCCNC1=O,,8.68,
GHXLKBYGQUFVHA-DURBRWELSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2cccc(S(C)(=O)=O)c2)C(=O)O1)S(=O)(=O)c1ccc2c(c1)OCO2,,10.6,
GHYMIQFEMWWEMC-UHFFFAOYSA-N,O=C(NO)c1ccc(CN2CCCCc3cc(-c4cc[nH]n4)ccc32)cc1,,,5.55
GIAXUWZVCYGXKO-UHFFFAOYSA-N,CC1Sc2ccc(C(=O)NO)cc2NC1=O,,,6.01
GIDCZSYQAVQEPS-UHFFFAOYSA-N,O=C(CCCCCCC(=O)Nc1n[nH]c2cc(-c3ccccc3Cl)ccc12)NO,,,8.4
GIFRIPDQEDWYST-QFIPXVFZSA-N,Cc1ccc(S(=O)(=O)N[C@@H](Cc2ccc(OCc3ccccc3)cc2)C(=O)NO)cc1,,,4.37
GIJQVTMVXWYWQN-BJKOFHAPSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)Cn2cnc3c(OC)nc(N)nc32)cc1,,6.34,
GIMAODGURWKHJY-UHFFFAOYSA-N,O=C(CCCCc1ccn(Cc2ccc(-c3ccccc3)cc2)n1)NO,,,5.28
GIMVBMLYXOBVGH-XZWHSSHBSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)OC2COCCOCCOCCOC2)cc1,,7.48,
GJJWQWQHCILEIG-UHFFFAOYSA-N,Cn1ccc(CN(Cc2ccc(-c3noc(C(F)(F)F)n3)cc2)c2cccc(C(F)(F)F)c2)n1,,,4.52
GJNDVFBPCAHZQU-UHFFFAOYSA-N,O=C(NO)c1ccc(CNCc2cccs2)cc1,,,5.5
GJPOAZWQGYBJEH-HYWNNBOMSA-N,CC(C)(CC(=O)O)CC(=O)O[C@@H]1C[C@]2(C)[C@H]3CC=C4[C@@H]5CC(C)(C)CC[C@]5(C(=O)O)CC[C@@]4(C)[C@]3(C)CC[C@H]2C(C)(C)[C@H]1O,,4.84,
GJVFDWCMEPXBSY-UHFFFAOYSA-N,O=C(NO)c1ccc2c(c1)CC(NS(=O)(=O)c1ccc(Cl)c(Cl)c1)CC2,,,6.33
GJYDHFLFZAQNDQ-NRFANRHFSA-N,Cc1ccc(NC(=O)[C@@H]2Cc3ccc(OCC(=O)NO)cc3CN2C(=O)OC(C)(C)C)c(C)c1,,,5.42
GKPIOXJPMSUIFL-HSAOYSSLSA-N,C=CCOc1cc(OC)ccc1S(=O)(=O)N(CC=C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21,,10.0,
GKVHJBCAWQDJNZ-ZCYQVOJMSA-N,COc1ccc(NC(=O)[C@@H]2Cc3ccc(OCC(=O)NO)cc3CN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)cc1,,,6.98
GLABLFHFXZJGCS-UHFFFAOYSA-N,O=C(NO)c1ccc2nc(-c3cccs3)[nH]c2c1,,,6.54
GLUNWMQGDQEBAS-UHFFFAOYSA-N,O=C(CCCCCCNC(=O)c1cc(-c2ccc(F)cc2)[nH]n1)NO,,,5.53
GLVMVEGVQAKUGE-LUQUXWHUSA-N,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)Nc1ccc(OC)cc1,,,6.7
GLYQZIOQAGAOCL-RONUNVLDSA-N,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1.Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,,6.2,
GLZCWMXIUBFQEM-UHFFFAOYSA-N,O=C(NO)c1ccc(Cn2c(=O)n(CCc3ccccc3)c(=O)c3ccc(C4CC4)cc32)cc1,,,5.51
GMALRSAWQFVPEL-NHKHRBQYSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(c3ccc(F)cc3)C(=O)O2)cc1,,9.89,
GMBOVOFMFHOGMM-QHCPKHFHSA-N,O=C(CCCCN1C(=O)[C@H](Cc2ccccc2)N=C(c2ccccc2)c2ccccc21)NO,,,4.9
GMFDSWTYGNJIOB-UHFFFAOYSA-N,O=C(NO)c1ccc2c(c1)CC(NS(=O)(=O)c1cccc(Cl)c1)CN2,,,6.01
GMGAMGXAXJWAQR-GOSISDBHSA-N,C[C@]1(c2ccc(S(N)(=O)=O)cc2)NC(=O)N(CC(=O)c2ccc(F)cc2F)C1=O,7.5,,
GMGAMGXAXJWAQR-SFHVURJKSA-N,C[C@@]1(c2ccc(S(N)(=O)=O)cc2)NC(=O)N(CC(=O)c2ccc(F)cc2F)C1=O,5.1,,
GMGAMGXAXJWAQR-UHFFFAOYSA-N,CC1(c2ccc(S(N)(=O)=O)cc2)NC(=O)N(CC(=O)c2ccc(F)cc2F)C1=O,7.2,,
GMJBHVCHBXJWGH-OAQYLSRUSA-N,Nc1ccccc1NC(=O)c1ccc(CSC2=N[C@@H](c3ccccc3)CS2)cc1,,,5.29
GMQMSPKSMHJNIT-OOXLZHEQSA-N,CC[C@H](C)[C@H](NC(=O)C1CCNCC1)C(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)Nc1ccc(OC)cc1,,,5.84
GMRFDGKVPQDNRD-AWEZNQCLSA-N,O=C1OC[C@@H](c2ccccc2)N1c1cc(F)c(-c2noc(C(F)(F)F)n2)cc1F,,,5.22
GMTCWDQOSDUWEX-MHWRWJLKSA-N,O=C(NO)c1cccc(C(=O)N/N=C/c2ccccc2)c1,,,7.28
GMZLHKSEGJIFAH-UHFFFAOYSA-N,Cc1ccc2c(c1)SC(=S)N1CCN=C21,,,4.89
GNJPEDGPOJXRSS-GJITUFOTSA-N,C=CCNC(=O)[C@@H](NC(=O)[C@@](O)(CCCN(Cc1ccc(Br)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccc(CC=C)cc1)C(C)C,,7.52,
GNMONFNHPILIBC-SFHVURJKSA-N,CCCCCNC(=O)[C@@H]1Cc2ccc(OCC(=O)NO)cc2CN1C(=O)OC(C)(C)C,,,5.52
GNPYXBMOZFIQNG-UHFFFAOYSA-N,N/C(=N/O)c1cccc(CN2C(=O)N(Cc3cccc(/C(N)=N\O)c3)C(Cc3ccc(F)cc3)C(O)C2CCc2ccc(F)cc2)c1,,10.7,
GNTOIHUPURNRFJ-FNRLYUQUSA-N,CC(C)[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)CS(=O)(=O)C(C)(C)C)C(=O)N[C@@H](Cc1cccc2c1OCO2)[C@@H](O)[C@H](O)[C@H](Cc1cccc2c1OCO2)NC(=O)[C@@H](NC(=O)[C@H](Cc1cccc2ccccc12)CS(=O)(=O)C(C)(C)C)C(C)C,,9.4,
GNUAYEFQSPTWLQ-ZGKXNTGCSA-N,CCCCCCCCCCCC(=O)O[C@@H]1C[C@]2(C)[C@H]3CC=C4[C@@H]5CC(C)(C)CC[C@]5(C(=O)OCc5ccccc5)CC[C@@]4(C)[C@]3(C)CC[C@H]2C(C)(C)[C@H]1OC(=O)CCCCCCCCCCC,,4.14,
GNUGXIFHXUUNNH-CVRVKDQLSA-N,CC(C)[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)NS(C)(=O)=O)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](Cc1cccc2ccccc12)NS(C)(=O)=O)C(C)C,,9.1,
GNYCTMYOHGBSBI-SVZOTFJBSA-N,C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CCCCCC(=O)[C@@H]2CO2)NC(=O)[C@@H](C)NC1=O,,,4.98
GNYGTGKQCARLNG-UHFFFAOYSA-N,O=C(NO)c1ccc(N(CC2CC2)C(=O)c2cccc(C(F)(F)F)c2)cc1,,,7.210000000000001
GOBHISZHUGXRFI-SNZVYYTPSA-N,COC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)CCCOc1ccc2ccc(OCCCC(=O)NNC(=O)NNC(=O)N[C@H](C(N)=O)C(C)C)cc2c1)C(C)C)C(C)C,,6.82,
GOBRTECWEHXUDO-UHFFFAOYSA-N,CN(Cc1ccc2c(c1)CCC(C(=O)NO)=C2)CC12CC3CC(CC(C3)C1)C2,,,5.62
GOBYTSPLIIKZRF-UHFFFAOYSA-N,O=C(C1CCS(=O)(=O)CC1)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cn1)c1cccc(F)c1,,,5.64
GOFBMDJZIXCQGV-UNHORJANSA-N,CC(C)[C@H](NC(=O)N(C)Cc1ccccn1)C(=O)N[C@@H](CC1CCCCC1)[C@H](O)[C@@H](O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)N(C)Cc1ccccn1)C(C)C,,8.22,
GOLDSRJBCFTJIA-UHFFFAOYSA-N,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OCCCCCC(=O)NO,,,5.82
GOLRRNJKQBKLFR-UHFFFAOYSA-N,Fc1cc(CNc2ccc3ccncc3c2)ccc1-c1noc(C(F)(F)F)n1,,,4.35
GOSPADRDCDMOCY-MRXNPFEDSA-N,COc1ccc(CNC(=O)[C@H](N)Cc2ccc(Cl)cc2Cl)cc1,,,4.78
GOVYBPLHWIEHEJ-UHFFFAOYSA-N,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,,,6.07
GPCKZJLDZHFRIV-UHFFFAOYSA-N,O=C(NC(=O)c1ccsc1NC(=O)c1nc2ccccc2s1)OCC1CC1,8.0,,
GPEHZTJGJSKJGV-RUHGTMQNSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccc(-c3cccc(C#N)c3)cc2)NC(=O)O[C@H]2CCOC2)cc1,,8.09,
GPGGCNQZIWRUGW-UHFFFAOYSA-N,O=C(NO)c1ccc(CNC(=O)c2[nH]c(-c3ccc(O)cc3)cc2-c2ccsc2)cc1,,,7.19
GPIHGQNLNGKACV-XYOKQWHBSA-N,COc1cc(-c2nc3cc(/C=C/C(=O)NO)ccc3n2CC(O)CO)ccc1OCc1ccccc1,,,6.47
GPQREXWEGIARKV-UHFFFAOYSA-N,Cc1cccc(C(=O)CN2C(=O)NC(C)(c3ccc(S(N)(=O)=O)cc3)C2=O)c1,6.7,,
GQKWNYLKLDCKEF-ZQWQDMLBSA-N,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H]1CN(c2ccccc2)C(=O)O1)[C@@H]1CN(c2ccccc2)C(=O)O1,,6.52,
GQMJAPAMXUGNLA-MRXNPFEDSA-N,N[C@H](Cc1ccc(O)cc1)C(=O)N1Cc2ccccc2C1,,,5.37
GQOYLESXUHXUPQ-UHFFFAOYSA-N,O=C(CCN(Cc1ccccc1)Cc1ccccc1)NO,,,5.85
GQPCGGQDQRAYCE-UHFFFAOYSA-N,Cc1c(C)n(Cc2ccc(C(=O)NO)cc2)c2ccccc12,,,5.8
GQWOSUWMYJKRHD-UHFFFAOYSA-N,O=C(CCCC(=O)NCCCN1c2ccccc2CCc2ccc(Cl)cc21)NO,,,5.73
GRHZLQBPAJAHDM-SPRQWYLLSA-N,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21,,10.15,
GRXIJBGWDJVGDO-OGJFBFLHSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)cc1,,6.62,
GRZOUCPYVZOEBU-UHFFFAOYSA-N,CC1(c2ccc(S(N)(=O)=O)cc2)NC(=O)N(CC(=O)c2ccc(F)c(C(F)(F)F)c2)C1=O,7.2,,
GSBGMIOHBWZCMF-NOZRDPDXSA-N,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc3nn(C)cc3c2)[nH]1,,,5.05
GSBLYOIDLBBBHQ-UHFFFAOYSA-N,CN1C=CSC1C(=O)Nc1cccc(CN2C(=O)N(Cc3cccc(NC(=O)C4SC=CN4C)c3)C(Cc3ccccc3)C(O)C2CCc2ccccc2)c1,,10.52,
GSEHYIXEGMWYII-HMUVCYRPSA-N,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1cccs1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,,7.68,
GSKRTNPTDULYSS-DZYKHFBGSA-N,COc1ccc2c(c1)OCCCCCCC[C@@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]3OCC[C@H]31)S2(=O)=O,,8.43,
GSKRTNPTDULYSS-JKNDTBRMSA-N,COc1ccc2c(c1)OCCCCCCC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]3OCC[C@H]31)S2(=O)=O,,10.15,
GSTQLBVUMDAKPM-FQEVSTJZSA-N,CC1=N[C@@H](C)C(=O)N(Cc2ccc(C3CCCCC3)cc2)c2cc(C(=O)OC(C)(C)C)ccc21,,4.06,
GSTYBQORYCBUSC-OAHLLOKOSA-N,N[C@H](Cc1ccc(Cl)cc1Cl)C(=O)NCCc1cccnc1,,,5.42
GSUOTZHCHGUHCC-HRZVIGLNSA-N,C[C@@]12Nc3ccccc3[C@]1(O)CCN2Cc1ccc(/C=C/C(N)=O)cc1,,,4.64
GSXIELWDZLKJPS-DHZHZOJOSA-N,COc1cc(C(=O)c2ccc3c(ccn3Cc3ccc(/C=C/C(=O)NO)cc3)c2)cc(OC)c1OC,,,5.66
GSYOAHDSQYKHQW-KLPKNRISSA-N,CC(C)[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCC(=O)NO)OC1=O,,,5.46
GSZOXZNGNIUWGK-UHFFFAOYSA-N,O=C1OC(COc2cccc3ccccc23)(c2ccccc2)CC(O)=C1Sc1ccccc1,,6.8,
GTCJZOOYHVAPKA-UHFFFAOYSA-N,O=C(CCc1ccc(CC(=O)c2ccccc2)o1)NO,,,5.62
GTEVOBBNXYPRET-UHFFFAOYSA-N,CC1(c2ccc(S(N)(=O)=O)cc2)NC(=O)N(CC(=O)c2nccs2)C1=O,6.2,,
GTFAUKGKYICUDS-UHFFFAOYSA-N,O=C(NO)c1ccc(CN(CCO)C(=O)Cc2ccccc2)cc1,,,6.4
GTIKSCMYIPBYSS-UHFFFAOYSA-N,O=C(NO)c1cnc(N2CCC3(CCN(Cc4c[nH]c5ccccc45)C3)CC2)nc1,,,7.8
GTUXNVSIYBGMNH-AFVUVFFESA-N,CC(C)(C)OC(=O)NCCC[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCS)OC1=O,,,6.1
GTUZYPVYDAPKOL-UHFFFAOYSA-N,COC(=O)CCCCCCC(=O)Nc1cnn(Cc2cc(CN=[N+]=[N-])cc(N=[N+]=[N-])c2)c1,,,4.44
GUJGFMZRYXDRBN-NBJCSOOUSA-N,COC(=O)N[C@H](C(=O)N[C@H](C)CCC[C@@H](CO)N(CCC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,,9.4,
GUJUZLBRSNYDQP-HKXBCVAQSA-N,CC[C@H](C)CN(C[C@@H](O)C(Cc1ccccc1)N(C(=O)OC)[C@H]1CCC(=O)N1)S(=O)(=O)c1cccc2ncsc12,,7.68,
GUJWDRGMHVEARL-UHFFFAOYSA-N,O=C(NO)c1ccc2c(c1)CC(Nc1ccc([N+](=O)[O-])cc1)CC2,,,5.43
GUMHZCBUHIIKRC-UHFFFAOYSA-N,CCOc1ccc(-c2nc(C(=O)NCc3ccc(C(=O)NO)cc3)c3[nH]c(=O)n(-c4cccnc4OC)c3n2)cn1,,,6.86
GUMXFDNCGXPKCB-UHFFFAOYSA-N,COc1ccc(OCc2ccc(-c3noc(C(F)(F)F)n3)c(F)c2)nc1,,,5.8
GUNBRUHPJCKSKN-HSZRJFAPSA-N,O=C(NO)c1ccc(CN2CC(=O)N(Cc3cccc(Cl)c3)[C@H](Cc3ccccc3)C2=O)cc1,,,6.82
GUPOAERNXWRBKK-YFWBWJTRSA-N,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@@H]1CCCCN1C(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(C)=O)C(C)C)C(C)C,,8.74,
GUSBCEMMAPNVTQ-UHFFFAOYSA-N,FC(F)(F)c1nc(-c2ccc(CNc3cnccn3)cc2)no1,,,5.72
GUSIXONWBMQKIS-UHFFFAOYSA-N,O=C(NO)c1ccc2c(c1)CC(Nc1nccc(-c3ccc(Cl)nc3)n1)CC2,,,6.05
GUSJNLJDSIJXRC-QXLLXRKJSA-N,O=C(N[C@@H](Cc1ccccc1)C(O)C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2cccc(C(F)(F)F)c2)C(=O)O1)OCc1ccccn1,,7.39,
GUWUSYPBTCEGGZ-UHFFFAOYSA-N,CCCCCCNNC(=O)c1cnc(NCc2ccc(CNC(C)=O)cc2)nc1,,,7.72
GVDINOVHHJJJDD-UHFFFAOYSA-N,O=C(NO)c1ccc2c(c1)nc(CCc1ccccc1)n2CCCO,,,6.36
GVFPDUARCHQQKB-UHFFFAOYSA-N,Cc1ccc(C(C)C)c(SC2=C(O)CC(CCc3ccccc3)(C(C)C)OC2=O)c1,,8.96,
GVFUVCCZDCIYNB-BRCZMWCXSA-N,COc1ccc2c(c1)OCCCC/C=C\CCCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]3OCC[C@H]31)S2(=O)=O,,10.09,
GVKKJJOMQCNPGB-JTQLQIEISA-N,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,,4.16,
GVLNXHSUXOORTP-UHFFFAOYSA-N,FC(F)(F)c1nc(-c2ccc(CNc3cccnc3)cc2)no1,,,5.51
GVPYBTYCSMGVJF-UHFFFAOYSA-N,COc1ccc(-c2cc(OCCN(C)c3ncc(C(=O)NO)cn3)c3ncnc(C)c3c2)cn1,,,7.92
GWBWWTBPQGXGNI-IGTFOCDXSA-N,CC(C)[C@H](NC(=O)CCCCCNC(=O)[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](OC(=O)CCCC(=O)O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,,4.75,
GWCHOTLAPYORDN-UHFFFAOYSA-N,O=C1CCc2cccc(C(F)(F)F)c2N1Cc1ccc(-c2noc(C(F)(F)F)n2)cn1,,,5.25
GWMUORALULGGRV-UHFFFAOYSA-N,FC(F)(F)c1nc(-c2ccc(CNCC3CN(c4ccccc4)CCO3)nc2)no1,,,5.77
GWNBFGJNUNUOOI-UHFFFAOYSA-N,CN(Cc1nc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc2n1C)c1ncc(C(=O)NO)cn1,,,7.66
GWPYKHNHSJVJEX-UHFFFAOYSA-N,O=C(NO)c1coc(C(c2ccccc2)c2ccccc2)n1,,,5.57
GWRCCABSMRGDID-UHFFFAOYSA-N,O=c1cc(C2CCCC2)cccc1O,,,7.27
GWSKSDJYGIEIHS-IOWSJCHKSA-N,CCCNC(=O)c1cc(NC)cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN(CC(C)C)S(=O)(=O)c2ccc(OC)cc2)c1,,6.52,
GXAINLVIYKFVJD-UHFFFAOYSA-N,CCc1ccc2cnn(C(Cc3ccccc3)C(=O)NO)c2c1,,,6.43
GXBGXAGPQGPDAS-UHFFFAOYSA-N,O=C(NO)c1ccc(N(Cc2cccc(C(F)(F)F)c2)C(=O)c2cccc(C(F)(F)F)c2)cc1,,,6.165
GXDZKYQEPCEEKN-QPNVDGBVSA-N,CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H](C)CC(=O)OC)S(=O)(=O)c1ccc2ncsc2c1,,9.23,
GXHDNZVBKPQUAL-AYRHNUGRSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)CN(CC(N)=O)[C@H]1CCOC1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,,7.47,
GXJABQQUPOEUTA-RDJZCZTQSA-N,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,,,7.14
GXOOMZQLPATTMH-UHFFFAOYSA-N,O=C(CCCCCCS)NC1CCCC1,,,5.63
GXOSDYYSMVCHPE-SFTDATJTSA-N,CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,,,6.46
GXQXMVBUFDEDPQ-UHFFFAOYSA-N,FC(F)(F)c1nc(-c2ccc(N3CCOCC3c3ccccc3Cl)nc2)no1,,,5.82
GXSIKRXDVVRPGS-HGGVDMMUSA-N,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1)C(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)Nc1ccc(OC)cc1,,,7.33
GXYYGOCAKCWVMR-GJZXTFMBSA-N,Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CS(=O)(=O)c2ccc3ccccc3c2)NS(C)(=O)=O)CSC1(C)C,,10.05,
GYALGUBWMGGMKN-OXECZZAQSA-N,CC(C)CN(C[C@@H](O)[C@H](CC12CC3CC(CC(C3)C1)C2)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,,9.14,
GYDBMEHZVCWPOS-UHFFFAOYSA-N,COc1cccc(C(=O)CN2C(=O)NC(C)(c3ccc(S(N)(=O)=O)cc3)C2=O)c1,6.9,,
GYMSRUYUXJKIQR-UHFFFAOYSA-N,CC(C)(C)c1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1,,,7.36
