inchikey,std_smiles,pchembl_DprE1,pchembl_InhA,pchembl_KasA
ADGMLMOMGZHAGZ-UHFFFAOYSA-N,O=C1N(CC2CCOCC2)CC(c2ccccc2)N1c1ccc(-c2noc(C(F)(F)F)n2)cc1,,,5.4
ADMHGYYUSPFHOT-VWLOTQADSA-N,O=C(COc1ccc2c(c1)CN(C(=O)OCc1ccccc1)[C@H](C(=O)NCCc1ccccc1)C2)NO,,,6.24
ADORMHQFWRYXJP-UHFFFAOYSA-N,COC(=O)Cc1c(C)n(Cc2ccc(-c3cn(CCCCCCCC(=O)NO)nn3)cc2)c2ccc(OC)cc12,,,6.41
ADPLAAPGYKOMIV-UHFFFAOYSA-N,O=C(NO)c1ccc(CN(Cc2ccccc2)S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1,,,6.82
ADQLECAYDOTLPN-HKWRFOASSA-N,COc1ccc(/C=C2\SC(=O)N(CCNC(=O)Nc3c(C)n(C)n(-c4ccccc4)c3=O)C2=O)cc1,,,6.29
ADVCONIANYAULF-UHFFFAOYSA-N,O=C(NO)C(Cc1ccccc1)n1ncc2cc(-c3cncnc3)ncc21,,,6.43
ADZCRCURJYAQHM-KTKRTIGZSA-N,CCc1ccc2c(c1)/C(=C1/SC(=N)NC1=O)C(=O)N2,,4.32,
AEDUBEGTPWKDCX-UQCBPKKGSA-N,[11CH3]n1cc(CCNCc2ccc(/C=C/C(=O)NO)cc2)c2ccccc21,,,5.98
AEDUBEGTPWKDCX-ZHACJKMWSA-N,Cn1cc(CCNCc2ccc(/C=C/C(=O)NO)cc2)c2ccccc21,,,5.98
AEPIACSZVNQAED-YFVDURBRSA-N,CNC(=O)[C@@H](NC(=O)[C@@](O)(CCCN(Cc1ccc(C#Cc2ccncc2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)C(C)(C)C,,8.18,
AESGFSDTJBTWHL-LEWJYISDSA-N,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CCCc2ccccc2S1(=O)=O,,6.33,
AEUMSWRJWOMGAG-UHFFFAOYSA-N,Cc1cccc(N2CCC(NCc3ccc(-c4noc(C(F)(F)F)n4)cc3)CC2)c1,,,5.85
AEVYTKKOGUOZJH-UHFFFAOYSA-N,Cc1c(CCC(=O)N2CCCC2)c(=O)n2c([nH]c3ccccc32)c1C#N,7.16,,
AEYZGBBUAPCNAU-UHFFFAOYSA-N,O=C(NO)c1ccc2c(c1)CC(Nc1ccccn1)CC2,,,5.54
AFDMOMCVVLFQAG-LOAGWBBBSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)CN(CC(=O)N1CCOCC1)[C@H]1CCOC1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,,7.01,
AFDWKBVQIOSZLN-UHFFFAOYSA-N,Cn1c(SCCCCCC(=O)NO)nnc1-c1ccncc1,,,5.15
AFKAVEDKNJUNBD-HSZRJFAPSA-N,CCCCCCCCCCNC(=O)CN1C(=O)[C@@H](CC(C)C)N=C(C)c2ccc(C(=O)O)cc21,,4.96,
AFZZFHPGAKLSDI-ZGCAKAMSSA-N,CC1(C)CC[C@]2(C(=O)NCCCCCC(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,,5.46,
AGDGTFUFKSHWRN-UHFFFAOYSA-N,O=C(CCCCCOc1no[n+]([O-])c1S(=O)(=O)c1ccccc1)NO,,,6.46
AGOFUMCFDGTKKS-NSHDSACASA-N,Cc1noc([C@@H]2CCC(=O)N2c2ccc(-c3noc(C(F)(F)F)n3)cc2F)n1,,,5.28
AGSBBTZSUUYEHP-UHFFFAOYSA-N,O=C1CCC(c2c(F)cccc2F)N1c1ccc(-c2noc(C(F)(F)F)n2)cc1F,,,5.19
AHNFXMBOWJVAPB-FUHWJXTLSA-N,Cc1c(O)c(O)c2c(c1C=O)[C@@H]1O[C@H](O2)c2c(C)c(O)c(O)c(O)c2C1=O,,,5.8
AHPDXBKGQDVHJR-UHFFFAOYSA-N,FC(F)(F)c1nc(-c2ccc(N3CCCCC3c3cccnc3)nc2)no1,,,5.48
AHYAGCXJMLLYGM-AJQTZOPKSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2cccc(-c3cc(OC)cc(OC)c3)c2)NC(=O)OC(C)(C)C)cc1,,9.09,
AIGAZQPHXLWMOJ-UHFFFAOYSA-N,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,,4.34,
AIHAHIPKPSMXGF-UHFFFAOYSA-N,O=C(Cc1[nH]nc2ccccc12)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cn1)c1cccc(F)c1,,,5.96
