smiles,pred_InhA,pred_KasA,pred_DprE1,MTRS
Cc1c(O)cccc1C(=O)N[C@@H](c1cccs1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,7.727408,5.799829,6.4170775,6.555048
O=C(CCCc1ccc(NS(=O)(=O)c2ccccc2)cc1)NO,7.0626235,6.394282,6.2608876,6.5544834
CN1C(=O)[C@H]2CN(Cc3c2c2ccccc2n3Cc2ccc(C(=O)NO)cc2)C1=O,7.11997,6.235558,6.369126,6.5526795
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@@H]1CCCCN1C(=O)COc1c(C)cccc1C,7.323628,6.1790357,6.253704,6.546115
O=C1NC(CCc2ccccc2)C(O)C(Cc2ccccc2)N1Cc1ccccc1,7.318224,6.0633607,6.3787894,6.5453615
CC1=N[C@H](CC(C)C)C(=O)N(Cc2ccc(-c3ccccc3)cc2)c2cc(C(=O)O)ccc21,7.065718,5.981146,6.673179,6.542018
NC(=O)c1cc(CN2C(=O)NC(CCc3ccccc3)C(O)C2Cc2ccccc2)ccc1F,7.3210907,5.825784,6.648918,6.541038
O=C(NO)C1c2ccccc2-c2ccccc21,7.116921,6.429339,6.1464176,6.5396013
O=C(COc1ccc(C[C@H](NC(=O)CCc2ccccc2)C(=O)Nc2ccccc2)cc1)NO,6.908731,6.3509583,6.378464,6.5362544
O=C(NO)c1ccc(Cn2c(=O)[nH]c(=O)c3ccc(C(F)(F)F)cc32)cc1,6.8626857,5.8321366,7.04509,6.5342093
CN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCc2ccc(C(=O)NO)cc2)cc1,6.9672027,6.192432,6.4542236,6.5223866
CC1(c2ccc(S(N)(=O)=O)cc2)NC(=O)N(CC(=O)c2nc3ccccc3s2)C1=O,6.9835267,5.951509,6.7123847,6.5189457
O=C(NO)c1ccc(CN2CCc3c(n(CC4CC4)c4ccc(F)cc34)C2)cc1,7.066417,6.3498006,6.1961746,6.51622
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)CN(CC(=O)N(C)C)[C@H]1CCOC1)S(=O)(=O)c1ccc(CO)cc1,7.7398086,5.57703,6.5837836,6.51611
O=C(COc1ccc2cc(/C=C3/SC(=O)NC3=O)ccc2c1)Nc1ccc(Br)cc1,6.7952704,6.0305867,6.7793527,6.5148106
O=C(N[C@H]1c2ccccc2C[C@H]1O)[C@H](Cc1ccccc1)C[S+]([O-])C[C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,7.7944407,5.4022255,6.7964926,6.5140896
O=C(O)c1nc2ccc(C(F)(F)F)cc2nc1NCc1ccc(Cl)cc1,6.761725,5.8307548,7.0686197,6.5094843
CC1(c2ccc(S(N)(=O)=O)cc2)NC(=O)N(CC(=O)c2cccc(C#N)c2)C1=O,7.0005145,6.089257,6.49484,6.5070457
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](COCc2ccccc2)NS(C)(=O)=O)CSC1(C)C,7.70314,5.4925685,6.676453,6.498268
O=C(NO)c1ccc(CN(Cc2ccncc2)S(=O)(=O)c2cc(F)c(F)c(F)c2F)cc1,7.364161,5.5743594,6.816338,6.4950256
CC1(c2ccc(C#N)cc2)NC(=O)N(CC(=O)c2ccccc2)C1=O,6.8675423,6.364583,6.271991,6.491104
CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)Nc1cccc(O)c1,7.537541,5.736021,6.4405093,6.489667
CCCNNC(=O)/C=C/c1ccc(CNCCc2c(C)[nH]c3ccccc23)cc1,6.9536276,6.1293926,6.4381523,6.4895425
CCCC[C@H](NC(=O)[C@@H](N)Cc1ccc2ccccc2c1)C(=O)NCC[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCc1ccccc1)C(=O)N[C@@H](CCC)C(=O)O,7.623481,5.381679,6.8692575,6.4855685
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCNC(=N)N)NC(=O)[C@@H](N)CNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](N)CCc1ccccc1)C(=O)O,7.563811,5.3815737,6.916405,6.4849234
NC(=O)c1ccc(-c2cnc3c(cnn3C(Cc3ccccc3)C(=O)NO)c2)cc1,6.7347355,6.133071,6.614718,6.4835086
O=C(/C=C/c1cccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)c1)NO,6.565069,5.781439,7.2711916,6.4820337
C[C@@H](OCc1ccccc1)[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)NO)C1=O,6.9585795,6.125794,6.4126267,6.4809656
N#Cc1ccc(N2CCC(Nc3ccc(C(=O)NO)cc3)C2=O)cc1,7.0505023,6.4166007,6.0471544,6.4788284
O=C(NO)c1ccc(CN(CCO)C(=O)Cc2ccccc2)cc1,6.843883,6.2744184,6.342931,6.477397
O=C(NO)c1ccc(CC(=O)N(CCO)c2ccccc2)cc1,6.8475657,6.3351774,6.2772055,6.4767876
CN(C)S(=O)(=O)c1ccc(C2(C)NC(=O)N(CC(=O)c3ccc(F)cc3F)C2=O)cc1,7.221274,5.7683434,6.592747,6.472191
O=C(NO)c1ccc(CN(Cc2ccccn2)S(=O)(=O)c2cc(F)c(F)c(F)c2F)cc1,7.249125,5.558643,6.862639,6.4715953
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)Cn1ccc(=O)[nH]c1=O)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,7.078881,6.1073227,6.3043113,6.470751
C[C@@]1(Nc2ccc(C(=O)NO)cc2)CCN(c2ccc(Cl)cc2)C1=O,6.845027,6.336641,6.2515445,6.467409
COc1cc(-c2nc(NCc3ccc(C(=O)NO)cc3)cc3c2[nH]c2ccccc23)cc(OC)c1OC,6.7799983,5.799096,6.9453006,6.466694
O=C(/C=C/c1ccc(Oc2ccccc2)cc1-c1ccccc1)NO,6.56527,6.4479575,6.38901,6.466586
O=C(NO)c1ccc(N(CC2CC2)C(=O)c2cccc(C(F)(F)F)c2)cc1,6.8534036,6.2571807,6.3147874,6.4642954
O=C(O)CC/C=C\C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,7.4387813,5.837768,6.306886,6.4615364
Cc1nc(-c2cccc(/C=C/C(=O)NO)c2)n([C@@H]2CCCN(C)C2)c1-c1ccccc1,6.8771176,6.309213,6.222571,6.4569807
CN(/N=C/c1ccc(C(=O)NO)cc1)C(=O)c1ccc(N(C)C)cc1,6.774903,6.373402,6.233023,6.452426
CC(=O)SCC/C=C/[C@@H]1CC(=O)N[C@H](C(C)C)C(=O)N[C@H](Cc2cn(C)cn2)C(=O)N[C@H](C(C)C)c2cn(nn2)CC(=O)O1,7.409199,5.8840094,6.2380548,6.4484806
CCN(C(=O)c1ccccc1C(F)(F)F)c1ccc(C(=O)NO)cc1,6.7564716,6.14566,6.4613633,6.4448385
COc1ccc(Cn2ccc3ccc(CC(=O)NO)cc32)cc1,6.6744733,6.5494924,6.1337047,6.444105
O=C(NO)c1ccc(NC(=O)c2ccc(N3CCOCC3)cc2)cc1,6.801127,6.31659,6.237928,6.442505
COc1ccc(OC)c(-c2cccc(O)c(=O)c2)c1,6.666669,6.4250693,6.2441964,6.440685
CC(=O)N(Cc1ccc(C(C)(C)C)cc1)c1ccc(C(=O)NO)cc1,6.7459836,6.25291,6.34127,6.4397173
COc1ccc(C(=O)c2ccc3c(ccn3Cc3ccc(C(=O)NO)cc3)c2)cc1OC,6.707765,6.053759,6.591432,6.4380493
O=C1N(Cc2cccc(-n3cccn3)c2)C(CCc2ccccc2)C(O)C(Cc2ccccc2)N1Cc1cccc(-n2cccn2)c1,6.78835,6.2019157,6.3511386,6.4377155
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)Cn1cc(CO)c(=O)[nH]c1=O)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,7.040714,5.9976783,6.356502,6.436642
CCOC(=O)NC(=O)c1ccsc1NC(=O)c1nc2ccccc2s1,6.5640783,6.4368253,6.3136773,6.4365706
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc2c(c1)cc(/C=C/C(=O)NO)n2C,6.6756444,6.2362704,6.4060163,6.4342647
COc1cc(C(=O)c2csc(-c3ccc(NC(=O)CCCC(=O)Nc4ccccc4N)cc3)n2)cc(OC)c1OC,6.5009265,5.739573,7.2324786,6.433372
Cc1cccc(C)c1N(CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)c1ccc(N)cc1)CC(=O)N(C)C,7.341718,5.643102,6.525641,6.4287043
COc1cc(C(=O)c2csc(-c3ccc(NC(=O)CC(=O)Nc4ccccc4N)cc3)n2)cc(OC)c1OC,6.5436454,5.7185082,7.190184,6.427158
Cc1nc(CN(C)C(=O)c2cccc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)c2)c(C)o1,7.3054967,5.9130383,6.213117,6.4246597
O=C(/C=C/c1ccc2c(=O)n(CCc3ccccc3)cnc2c1)NO,6.494889,6.446608,6.3263497,6.421829
CC(C)CN(CCNCCN(CC(C)C)S(=O)(=O)c1ccc(N)cc1)S(=O)(=O)c1ccc(N)cc1,7.260861,5.9780293,6.166457,6.421623
COc1ccc(NC(=O)[C@H](Cc2ccc(OCC(=O)NO)cc2)NC(=O)CCCc2ccccc2)cc1,6.655323,6.4556785,6.171963,6.421493
O=C(O)CC[C@H](NC(=O)Cc1ccc(Br)cc1)C(=O)NCc1ccc([N+](=O)[O-])cc1,6.702191,6.1343207,6.4529924,6.421384
COc1cc(C(=O)c2csc(-c3ccc(NC(=O)/C=C/C(=O)Nc4ccccc4N)cc3)n2)cc(OC)c1OC,6.612894,5.735623,7.047233,6.4175463
N[C@@H](Cc1ccccc1)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,6.6966095,5.86243,6.768307,6.414993
CC1(c2ccc(S(=O)(=O)NCC(F)(F)F)cc2)NC(=O)N(CC(=O)c2ccc(F)cc2F)C1=O,7.048046,5.5866423,6.7814655,6.405569
Cc1ccc2c(cnn2C(Cc2ccccc2)C(=O)NO)c1,6.7458205,6.5179253,5.9982905,6.405095
O=C(CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N[C@@H](Cc1c[nH]c3ccccc13)C(=O)O)C42)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,7.4392037,5.597061,6.422206,6.399346
O=C(NO)C(Cc1ccccc1)n1ncc2cc(-c3cccnc3)ccc21,6.507903,6.5163455,6.169724,6.3938427
Cc1cc(F)cc(C)c1Oc1ccc(C(C)(C)O)cc1-c1cn(C)c(=O)c2[nH]c(C(=O)NCCCCCCC(=O)NO)cc12,6.340754,5.7163033,7.302686,6.388632
CC(C)(C)OC(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)Nc1cccc2ccccc12,6.592011,6.422481,6.1629386,6.3875713
COc1ccc(NC(C)=O)cc1C(=O)NNC(=O)[C@H](CCCCNC(=O)CCCOc1ccc2cc(CNC(=N)N)c(OCCCC(=O)NCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)NNC(=O)c3cc(NC(C)=O)ccc3OC)cc2c1)NC(=O)OC(C)(C)C,6.5681605,5.4964213,7.355537,6.3811026
Cc1ccc(-c2cc(C(=O)NCCCCCCC(=O)NO)nn2-c2ccc(S(C)(=O)=O)cc2)cc1,6.5606055,6.073608,6.5251174,6.378559
Cc1nc(-c2cccc(/C=C/C(=O)NO)c2)n([C@@H]2CCCN(C(C)C)C2)c1-c1ccccc1,6.753926,6.3079553,6.080484,6.3687153
O=C(NO)c1ccc(NC(=O)c2ccc(C3CCCCC3)cc2)cc1,6.751258,6.3924522,6.0055995,6.36853
O=C(NO)C(Cc1ccccc1)n1cc2cc(-c3ccncc3)ccc2n1,6.4988017,6.5601406,6.067288,6.3676887
Cn1cc(-c2ccc3c(cnn3C(Cc3ccccc3)C(=O)NO)c2)cn1,6.3383236,6.4239783,6.256858,6.3389854
CCCCCNNC(=O)c1ccc(-c2ccc(CNC(C)=O)cc2)cc1,6.6103044,6.2232985,6.1937857,6.3368998
COc1ccc(-c2ccccc(O)c2=O)c(OC)c1OC,6.360391,6.3524265,6.297971,6.3368073
O=C(NO)c1ccc(CN(CCCCO)C(=O)Nc2ccccc2)cc1,6.6001344,6.303579,6.112721,6.3325157
O=C(CCCCCCC(=O)Nc1n[nH]c2cc(-c3ccc(Cl)cc3)ccc12)NO,6.4296985,6.0076694,6.5827374,6.3305206
O=C(CCCCCCC(=O)Nc1n[nH]c2cc(-c3cccc(Cl)c3)ccc12)NO,6.4293466,6.0072694,6.5832224,6.330409
O=C(NO)c1ccc2c(c1)CN(Cc1ccc(-c3cccc([N+](=O)[O-])c3)o1)CC2,6.30662,6.49791,6.181035,6.3258524
C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)OCc1ccccc1,6.3106446,6.4192863,6.220198,6.3156624
CN(C)CCn1c(-c2cccc(/C=C/C(=O)NO)c2)nc2ccccc21,6.430171,6.221666,6.252398,6.300083
COc1cc(C(=O)c2csc(-c3ccc(NC(=O)CCC(=O)NO)cc3)n2)cc(OC)c1OC,6.284648,6.0183883,6.5755906,6.2846575
CC(C)C[C@H]1N=C(c2ccccc2)c2ccc(C(=O)OC(C)(C)C)cc2N(Cc2ccc(C3CCCCC3)cc2)C1=O,6.632285,6.279021,5.9734244,6.283429
O=C(/C=C/c1ccc2c(c1)nc(-c1ccccn1)n2CCCO)NO,6.147059,6.2828336,6.3610845,6.2624054
O=C(NO)c1ccc2c(c1)CC(Nc1nccc(-c3ccc(N4CCOCC4)nc3)n1)CC2,6.280234,6.3811398,6.116512,6.2573853
O=C(CCCCCCC(=O)Nc1n[nH]c2cc(-c3cccc(C(F)(F)F)c3)ccc12)NO,6.1927505,5.8301764,6.813812,6.25311
O=C(NO)c1ccc(C(=O)NCCc2ccncc2)cc1,6.366187,6.5801635,5.830292,6.24259
O=C1NC[C@H](c2ccccc2)[C@@H]1C(=O)N[C@@H](CCCCCS)C(=O)Nc1ccccc1,6.776257,6.2878404,5.7476153,6.242244
COc1ccc(-c2ccc3c(NC(=O)CCCCCCC(=O)NO)n[nH]c3c2)cc1OC,6.035457,6.2963276,6.368791,6.2301936
CC(C)[C@H]1NC(=O)C[C@@H](C/C=C\CCC(=O)O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](C)NC1=O,6.911665,5.9491115,5.911672,6.224943
O=C(NO)C(Cc1ccccc1)c1cnc2cc(-c3cccnc3)ccn12,6.116481,6.5953774,5.976597,6.2184753
CC(C)C[C@H]1CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCCC(=O)NO)C(=O)N[C@@H](Cc2cc3ccccc3[nH]2)C(=O)N1,6.9428844,5.8633046,5.9463043,6.2143154
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)Cn1cnc2c(N)ncnc21)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,6.149054,6.4242663,6.071046,6.2111454
CN(C)CCCn1c(SCc2ccc(/C=C/C(=O)NO)cc2)nc2ccccc21,6.2500396,6.0972986,6.271056,6.2051573
CS(=O)(=O)c1cc([N+](=O)[O-])c2sc(N3CCN(S(=O)(=O)C4CC4)CC3)nc(=O)c2c1,6.3753047,6.1708827,6.047213,6.194865
O=C(NO)C(Cc1ccccc1)n1cnc2ccccc21,6.4315405,6.4982185,5.703345,6.189296
O=C(CCCCCONC(=O)c1ccc2ccccc2c1)NO,6.2948503,6.290689,5.9907293,6.1887608
CC(C)[C@@H](C(=O)NO)n1nnc(-c2ccccc2)c1C#Cc1ccccc1,6.0289454,6.486749,6.0443053,6.179554
CCS/C(Nc1ccccc1)=C(\C#N)C(=O)Nc1ccc(OC)cc1,6.3009224,6.4464636,5.8044114,6.171398
O=C(NO)C(Cc1ccccc1)n1cc2cccc(CN3CCOCC3)c2n1,6.694609,6.3649096,5.5598044,6.1684256
COc1ncc(-c2ccc3nn(C(Cc4ccccc4)C(=O)NO)cc3c2)cn1,5.883325,6.575868,6.0240617,6.146986
COC(=O)CCCCCCC(=O)Nc1ccc(OCc2cc(C)cc(C)c2)cc1,5.815518,6.4895043,6.1415744,6.136558
CC(C)C[C@H](NC(=O)CNC(=O)c1cccc(/C=C/C(=O)NO)c1)B1O[C@@H]2[C@@H]3C[C@H](C[C@]2(C)O1)C3(C)C,6.8053737,5.893728,5.7775054,6.1262035
O=C(CCCCCCC(=O)NCCCN1c2ccccc2CCc2ccc(Cl)cc21)NO,6.166099,5.9423842,6.2744203,6.124487
COc1ccc(-c2ncc(/C=C/C(=O)NO)s2)cc1,6.222341,6.509462,5.6856046,6.1197443
O=C(CCCCCCc1nc2ccc(Br)cc2[nH]1)NO,6.064979,6.2748737,6.014149,6.1159415
CC(C)c1cc(C(=O)N(C)c2ccc(NC(=O)CCCCCCC(=O)NO)cc2)c(O)cc1O,6.103272,5.826066,6.4100547,6.10384
O=C(CCCCCCNC(=O)C(O)(O)C(F)(F)F)Nc1ncc(-c2ccccc2)s1,5.955537,5.942861,6.4368825,6.1033316
CCCNc1ccc2c3c(cccc13)C(=O)N(CCCCCC(=O)NO)C2=O,6.1337104,6.142241,6.0251927,6.0999136
CCCCCCNNC(=O)c1cnc(NCc2ccc(CNC(C)=O)cc2)nc1,5.8390307,6.3165374,6.150687,6.095587
COc1ccc(NC(=O)[C@@H]2Cc3ccc(OCC(=O)NO)cc3CN2)cc1,6.4535017,6.374331,5.5450816,6.0954075
CC1(C)CC[C@]2(C(=O)OCc3ccccc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](OC(=O)c6ccccc6C(=O)O)[C@H](OC(=O)c6ccccc6C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,6.312881,5.9094806,6.0689144,6.0926075
CN1C(=O)N2Cc3c(c4cc(OCCN5CCOCC5)ccc4n3Cc3ccc(C(=O)NO)cc3)[C@@](C)(C2)C1=O,6.0633945,6.2440395,5.9682984,6.0897775
COc1cc(Nc2nc(N)nc3c2ncn3Cc2ccc(C(=O)Nc3ccccc3N)cc2)cc(OC)c1,5.7955403,5.762573,6.7719083,6.075962
CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(CCCCC(=O)NO)c2c(=O)n1-c1ccccc1,5.6737504,5.9041066,6.7427506,6.0737185
O=C(NO)c1ccc2c(c1)CC(Nc1ccccn1)CC2,6.3737864,6.388919,5.5303154,6.0699854
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@]23CC[C@@H](C)[C@H](C)[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)cc1,6.824224,5.524384,5.990912,6.067078
CC(C)c1cc(C(=O)N(C)c2ccc(NC(=O)CCCCCCCC(=O)NO)cc2)c(O)cc1O,6.023532,5.781888,6.4138584,6.0620537
O=C(/C=C/c1ccc(Cl)cc1F)NCCCCCC(=O)NO,6.1566367,6.3082747,5.735721,6.057005
CSCC[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)NO)C1=O,6.217253,6.2665963,5.6927915,6.047415
CC(C)(C)OC(=O)n1cnc(C[C@@H]2NC(=O)[C@]3(C)CSC(=N3)c3csc(n3)CNC(=O)C[C@@H](/C=C/CCS)OC2=O)c1,6.33544,6.1235557,5.713245,6.046218
COc1ccc(/C=C/C(=O)OO)c(OCc2ccccc2)c1,5.6775928,6.529903,5.981544,6.042862
O=C(NO)C(Cc1ccccc1)n1ncc2c(-c3cncnc3)cccc21,5.6052594,6.615521,5.965612,6.033899
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cccc(NC(=O)CCCCCCC(=O)NO)c3)CC1)C2,6.4720554,6.1900344,5.517417,6.0325193
CC(C)(C)OC(=O)Nc1ccc(-c2ncc(C(=O)NCCCCCCC(=O)NO)s2)cc1,5.74622,6.4184337,5.955981,6.0273986
O=C(CCCCCCCC(O)c1ccc2ccccc2c1)NO,6.2241845,6.266658,5.6332927,6.027069
CC(C)c1cc(-n2nnc(C(=O)NCCCCCCC(=O)NO)c2-c2ccc(CN3CCOCC3)cc2)c(O)cc1O,5.6727033,6.0482826,6.3696613,6.0166874
CC(C)(C)NC(=O)[C@@H]1CCC[N+]12C([O-])[C@H](Cc1ccccc1)NC(=O)N2Cc1ccccc1,6.3731036,6.202437,5.534157,6.014044
CC(C)Cc1nc2cc(/C=C/C(=O)NO)ccc2n1CCCO,5.856936,6.281735,5.9052567,6.008772
CCCCCCNNC(=O)c1ccc(CNC(=O)CN2CCC(c3ccc(NC4CCC(=O)NC4=O)cc3)CC2)cc1,6.4031687,6.070637,5.602475,6.0072975
CN(c1ccc(OCCCC(=O)NO)cc1)c1ncnc2ccccc12,5.448107,6.3036613,6.3521814,6.004633
O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccc(F)cc3)nn2)c1)NO,5.501661,6.2395086,6.319884,5.996845
O=C(NO)c1coc(-c2ccc3ccccc3c2)n1,5.5073557,6.611908,5.952654,5.990297
Cc1nc2c(c(N(C)c3ccc(OCCCCCC(=O)NO)cc3)n1)CCC2,5.5075817,6.1676917,6.351247,5.986202
CCc1cccc2c1NC(=O)/C2=C1\SC(=N)NC1=O,6.076142,6.315476,5.607198,5.9849005
CC(=O)NCCCC[C@@H]1NC(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CSCCC(=O)O)NC1=O,6.4886293,5.7806716,5.729358,5.9803166
Cn1cc(CN2CC3(CCN(c4ncc(C(=O)NO)cn4)C3)C2)c2ccc(C#N)cc21,5.882344,6.3710246,5.708795,5.974558
S=C1Sc2cc(Cl)ccc2C2=NCCN12,6.2555203,6.3129625,5.410791,5.963279
COc1ncc(-c2cc3cnn(C(Cc4ccccc4)C(=O)NO)c3cn2)cn1,5.400087,6.4018703,6.1752114,5.9603715
O=C(CCCCCCC(=O)Nc1cccc(-c2cn(Cc3ccccc3)nn2)c1)NO,5.429827,6.2482133,6.283061,5.95981
CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCNC(C)C,5.786972,6.255217,5.8367887,5.9524336
CCC(=O)CCCCC[C@@H]1NC(=O)[C@H](C)N(C)C(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,6.365764,5.862086,5.593024,5.9233255
O=C(NO)c1coc(-c2ccc(Cl)cc2)n1,5.438391,6.617684,5.8226633,5.920302
O=C(CCCCC[C@H](NC(=O)[C@@H]1CC(=O)N1)C(=O)Nc1ccccc1)NO,6.359146,6.1311836,5.3608212,5.9184084
O=C(NO)c1coc(-c2ccccc2Br)n1,5.400966,6.621558,5.8480687,5.9151707
COc1cc(Oc2ccc3nc(/C=C/C(=O)NO)ccc3c2)cc(OC)c1OC,5.357612,6.200335,6.2742066,5.9134903
CC(C)(C)c1cc(C(=O)NOCCCCCC(=O)NO)cc(C(C)(C)C)c1,5.7644305,6.1248536,5.849629,5.909026
COc1c(OCCCCCC(=O)NO)ccc2c1N=C(NC(=O)c1ccccc1)N1CCN=C21,5.8122835,6.362055,5.602916,5.908887
Cn1cnc2cc(/C=C/C(=O)NO)ccc21,5.921315,6.416582,5.4629836,5.9080963
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,6.255634,6.108752,5.4186378,5.9043064
O=C(CCCCCCCS)Nc1ccccc1,5.7826724,6.2432323,5.6933026,5.896819
CS(=O)(=O)c1cc([N+](=O)[O-])c2sc(N3CCN(CC4CCCCC4)C4(CC4)C3)nc(=O)c2c1,5.8010597,6.13257,5.7664313,5.8954897
CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc(-c3cnccn3)cc2)[nH]1,5.468376,6.460479,5.831371,5.892252
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,6.3051276,6.069965,5.378454,5.890742
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)S(=O)(=O)c1ccc(N)cc1,6.476192,5.408483,5.8690095,5.885896
COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1,5.2382216,6.061706,6.4993653,5.8854027
CN(C)C(=O)/C=C/c1cc(C(F)(F)F)cc2c(=O)nc(N3CCN(CC4CCCCC4)CC3)sc12,5.85992,6.0395513,5.7447147,5.8789053
CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc(-c3cccnc3)cc2)o1,5.2761025,6.3785567,6.082994,5.874269
CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc3nnccc3c2)[nH]1,5.3597255,6.423455,5.91007,5.8655734
COc1ccc2cc(C(=O)NCCCCCCC(=O)NO)ccc2n1,5.786734,6.4782014,5.4221244,5.863929
O=C1COC[C@@H](c2ccccc2)N1c1ccc(-c2noc(C(F)(F)F)n2)cc1F,5.1962686,6.1606774,6.3669114,5.8613486
CCC(=O)CCCCC[C@H](NC(=O)C1=NOC2(CCN(C)CC2)C1)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,5.750545,6.3938622,5.507069,5.860733
COc1ccc(C(=O)NO)cc1NCc1ccc(OCc2cn(CCCCCC(=O)Nc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)nn2)cc1,5.2314005,5.9800897,6.5126367,5.860261
CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC)CC2)c1ncc(-c2cc3ccccc3nc2OC)o1,5.4727235,6.411122,5.749169,5.852042
Cc1cn([C@H]2C[C@H](n3cc(CNCC(=O)N(Cc4ccccc4)Cc4cc5cc(Cl)ccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,5.212933,6.015329,6.4611077,5.849724
Cc1coc(C(=O)CCCCC[C@H](NC(=O)C2CCN(C)CC2)c2ncc(-c3ccc(F)cc3)[nH]2)n1,5.3807025,6.4890876,5.777713,5.847577
Cc1cn([C@H]2C[C@H](n3cc(CNCc4cc5cc(Cl)ccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,5.299292,6.1550746,6.1763053,5.8470287
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)S(=O)(=O)c1ccc(N)cc1,6.3415804,5.5086064,5.7442293,5.844407
