smiles,pred_InhA,pred_KasA,pred_DprE1,MTRS
CC[C@@H]1OC(=O)[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@](O)(CN(C)Cc3ccc(-c4cn(CCCCC(=O)NO)nn4)cc3)[C@H](C)O2)[C@H](C)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(OC)C[C@H](C)C(=O)[C@@H](C)[C@@H](O)[C@@]1(C)O,8.3710165,5.439056,7.810296,6.9548874
CC(C)[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C(C)C,8.528198,5.3715296,7.776463,6.944156
CCCCCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC[C@@H]1CCC(=O)N1)S(=O)(=O)c1ccc(OC)cc1,8.594584,5.730003,7.081084,6.9429398
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2ccc3c(c2)[C@@H](NC(=O)OC(C)(C)C)CCS3)cc1,8.726336,5.4200087,7.503061,6.938403
NC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(N)=O)c3)C(Cc3ccc(F)c(F)c3)C(O)C2CCc2ccc(F)c(F)c2)c1,7.599379,5.678131,7.9955773,6.9320393
COc1ccc(-c2cc(-c3ccccc3)[nH]c2C(=O)NCc2ccc(C(=O)Nc3ccccc3S)cc2)cc1,7.5402417,5.799111,7.813876,6.9277754
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(c3ccccc3O)C(=O)O2)cc1,8.710956,5.3672805,7.577992,6.9272366
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21,8.6556635,5.531538,7.2332783,6.903491
CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCCNC(=O)C(F)(F)F)S(=O)(=O)c1ccc(OC)cc1,8.539379,5.6232424,7.14712,6.898861
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccc(-c3ccc(C(=O)O)cc3)cc2)NC(=O)O[C@H]2CCOC2)cc1,8.641273,5.437039,7.37159,6.8917475
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccc(-c3ccc(C(C)=O)cc3)cc2)NC(=O)O[C@H]2CCOC2)cc1,8.639768,5.442295,7.3548317,6.889347
CC(C)[C@H](NC(=O)N(Cc1cscn1)C1CC1)C(=O)N[C@H](CC[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,8.324768,5.9221983,6.813041,6.884571
CCCCCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1CCOC1=O)S(=O)(=O)c1ccc2ncsc2c1,8.519701,5.652966,7.063129,6.883045
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cc(OC)cc(C(=O)N(C)C3CCCCC3)c2)cc1,8.565996,5.4719095,7.294064,6.871435
CNC(=O)[C@@H](NC(=O)[C@@](O)(CCCN(Cc1ccc(-c2cccnc2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)C(C)(C)C,8.412561,5.618362,7.1206927,6.860381
CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCCNC(=O)C(Cl)Cl)S(=O)(=O)c1ccc2ncsc2c1,8.39899,5.7145276,6.9809318,6.8602495
COC(=O)N[C@H](C(=O)NN(CC[C@]1(Cc2ccccc2)C(=O)N([C@H]2c3ccccc3C[C@H]2O)C[C@H]1O)Cc1ccc(Br)cc1)C(C)(C)C,8.584682,5.38641,7.3960395,6.85955
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccc(-c4cn(CCCCCCCCC(=O)NO)nn4)cc3)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,8.249206,5.399544,7.613725,6.85297
CNC(=O)[C@H](C)NC(=O)[C@@](O)(CCCN(Cc1ccc(Br)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1,8.428182,5.5605564,7.165299,6.848546
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1)C(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)Nc1ccc(OC)cc1,8.264419,5.910003,6.746239,6.8425035
COC(=O)N[C@H](C(=O)NN(CC[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)Cc1ccc(Br)cc1)C(C)(C)C,8.5386505,5.4015074,7.3392625,6.841482
COCCN(CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)c1ccc(OC)cc1)[C@@H]1CCOC1,8.443581,5.5791597,7.07988,6.8350067
CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@@H](C)C(=O)N[C@]12NC(=O)[C@@]3(O)C4C5CC(C6C5C3C61)C42,8.369082,5.473668,7.2959476,6.829938
COC(=O)N[C@H](C(=O)NN(CCC[C@@]1(Cc2ccccc2)C(=O)N([C@H]2c3ccccc3C[C@H]2O)C[C@H]1O)Cc1ccc(Br)cc1)C(C)(C)C,8.505247,5.406317,7.299738,6.825403
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CCOC2)CSC1(C)C,8.400642,5.656281,6.9503093,6.822654
COc1ccc(NC(=O)[C@@H]2Cc3ccc(OCC(=O)NO)cc3CN2C(=O)[C@H](C)NC(=O)OC(C)(C)C)cc1,8.237403,5.8349595,6.7792954,6.8137493
COC(=O)N[C@H](C(=O)NN(CCC1(Cc2ccccc2)C(=O)N([C@H]2c3ccccc3C[C@H]2O)CC1O)Cc1ccc(-c2ccncc2)cc1)C(C)(C)C,8.439835,5.4863477,7.1652427,6.813243
COCCNC(=O)[C@@H](NC(=O)[C@@](O)(CCN(Cc1ccc(Br)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)C(C)C,8.3451805,5.5185566,7.1371026,6.8004184
NC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(N)=O)c3)C(Cc3ccc(F)cc3)C(O)C2CCc2ccc(F)cc2)c1,7.4964175,5.648453,7.6494403,6.8001738
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@](O)(CCCN(Cc1ccc(Br)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1,8.384138,5.453219,7.191792,6.7919683
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@H](CCNNC(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,8.024487,6.0909853,6.537927,6.7911825
CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H]1CN(c2ccccc2)C(=O)O1)C(C)C,8.359027,5.419633,7.2441754,6.7844534
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3cccc(-c4cn(CCCCCCC(=O)NO)nn4)c3)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C2=NCCN3C(=O)O[C@@]1(C)[C@H]3[C@H]2C,8.181398,5.45219,7.311426,6.7809906
CNC(=O)[C@@H](NC(=O)[C@@](O)(CCCN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)C(C)(C)C,8.219906,5.6357474,6.955593,6.7740912
CC(C)c1nc(CN(C)C(=O)N[C@@H](CCO)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,8.025144,6.0007567,6.5920205,6.7727346
CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@@](O)(CN(C)Cc3ccc(-c4cn(CCCCCC(=O)NO)nn4)cc3)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,8.07793,5.353231,7.5326447,6.7666225
Nc1ccccc1NC(=O)CCCCCC(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,7.28914,5.886989,7.3272653,6.7638702
COC(=O)N[C@H](C(=O)NN(CC[C@@]1(Cc2ccccc2)C(=O)N([C@H]2c3ccccc3C[C@H]2O)C[C@@H]1O)Cc1ccc(-c2ccccn2)cc1)C(C)(C)C,8.329382,5.465721,7.070618,6.74998
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cc(OC)cc(C(=O)N(C)Cc3nc(C)oc3C)c2)cc1,8.357485,5.3895826,7.1796327,6.7494717
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)Cn2ccc(=O)[nH]c2=O)cc1,7.984639,5.9422193,6.591102,6.7378263
Cc1nc(-c2cccc(/C=C/C(=O)NO)c2)n(CCc2ccccc2)c1-c1ccccc1,7.200558,5.9028277,7.2869143,6.733693
O=C(NO)c1ccc(Cn2c(=O)n(CCc3ccccc3)c(=O)c3ccc(F)cc32)cc1,7.0956783,5.854883,7.4561915,6.728793
O=C(NO)c1ccc(Cn2c(=O)n(CCc3ccccc3)c(=O)c3cc(F)ccc32)cc1,7.0954714,5.8548675,7.4560294,6.7286806
COc1cc(C(=O)c2csc(-c3ccc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)cc4)cc3)n2)cc(OC)c1OC,6.941463,5.7687187,7.7807198,6.7274623
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2ccccc2O)C(=O)O1)S(=O)(=O)c1ccc(N)cc1,8.282404,5.3762965,7.179954,6.7262135
CC(C)[C@H](NC(=O)[C@H](OCc1ccccc1)[C@H](O)[C@@H](O)[C@@H](OCc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(=O)NCC(F)(F)F,8.259855,5.3148575,7.3055196,6.7249184
O=C(NO)c1ccc(Cn2c(=O)n(CCc3ccccc3)c(=O)c3ccc(Cl)cc32)cc1,7.101106,5.8525653,7.4143047,6.717981
CCOc1c(N[C@@H](Cc2ccccc2)[C@H](O)CN(CC(C)C)S(=O)(=O)c2ccc(OC)cc2)c(=O)c1=O,7.9400563,5.9664693,6.5322456,6.7169137
O=C(NO)c1ccc2nc(-c3ccc(-c4ccccc4)cc3)[nH]c2c1,7.304047,5.9331784,7.0687795,6.712591
CSCC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](N)Cc1ccc2ccccc2c1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC1CCCCC1)C(=O)O)c1ccccc1,8.079566,5.3593106,7.3147016,6.7103415
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CS(=O)(=O)c2cccc3ccccc23)NS(C)(=O)=O)CSC1(C)C,8.107493,5.3097277,7.3520703,6.7010293
O=C(/C=C/c1ccc(C(c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)cc1)NO,7.4283466,5.777864,7.13791,6.6995573
CC(C)[C@H](NC(=O)[C@H](C)NC(=O)C[C@@H](NCc1ccccc1)C1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1OCc1ccccc1)C(=O)O,8.171285,5.480635,6.979365,6.6946373
CC(C)[C@H](NC(=O)C[C@@H](NCc1ccccc1)C1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1OCc1ccccc1)C(=O)N[C@@H](C)C(=O)O,8.170127,5.4809823,6.9779744,6.694124
O=C(NO)c1ccc(C(=O)N2CCc3c(c4ccccc4n3Cc3ccccc3)C2)cc1,7.2414546,5.8966956,7.0948563,6.6870623
CCC[C@H](NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](CCC(=O)O)NC(=O)C(N)CNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](N)Cc1ccc2ccccc2c1)C(=O)O,8.018173,5.3472633,7.275487,6.678896
O=C([C@@H]1O[C@@H]2O[C@H]1C(=O)N(Cc1ccccc1)[C@H]2Cc1ccccc1)N1CCN(CCO)CC1,8.003383,5.784299,6.5800605,6.6695824
CCCCCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCCNC(=O)C(F)(F)F)S(=O)(=O)c1ccc2ncsc2c1,7.7403345,6.0386996,6.4425883,6.6665325
O=C(NO)c1ccc(CN(Cc2ccccc2)C(=O)c2ccccc2)cc1,7.2753158,6.0022206,6.8492312,6.6658096
Cc1ccc(C(=O)c2ccc3c(ccn3S(=O)(=O)c3cccc(/C=C/C(=O)NO)c3)c2)cc1,7.2884293,5.765984,7.1586633,6.661846
CNc1ccc(CCn2c(=O)c3ccccc3n(Cc3ccc(C(=O)NO)cc3)c2=O)cc1,6.9672236,5.864854,7.2931237,6.649645
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)C(=O)N1COC2(CCCC2)[C@H]1C(=O)NCc1c(Cl)cccc1Cl,8.13429,5.4147024,6.959411,6.6473303
O=C(/C=C/c1ccc(Cc2ccc(O)c(Cl)c2)cc1)NO,7.2710805,6.1448455,6.618405,6.6465354
CCc1ccccc1SC1=C(O)CC(CSc2ccccc2)(c2ccccc2)OC1=O,7.2609057,5.9494457,6.8547688,6.6417146
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)Cn2cnc3c(Cl)ncnc32)cc1,7.5934587,6.141202,6.360248,6.6407905
O=C(/C=C/c1ccc(CNCc2ccc3ccccc3n2)cc1)NO,7.19924,6.1432977,6.6625714,6.640477
O=C(NO)c1ccc2nc(-c3cccc(Br)c3)[nH]c2c1,7.1567144,6.1887927,6.645585,6.640295
O=C(NO)c1ccc2c(c1)CC(Nc1nccc(-c3ccc4ccccc4c3)n1)CC2,7.2076163,6.064994,6.745908,6.6392136
COc1ccc(NC(=O)[C@@H]2Cc3ccc(OCC(=O)NO)cc3CN2C(=O)[C@@H](N)C(C)C)cc1,7.6104965,6.2508984,6.228602,6.638282
O=C(NO)c1ccc2nc(-c3ccc(-c4ccc(CN5CCOCC5)cc4)cc3)[nH]c2c1,7.2525377,5.9644837,6.8182683,6.6341352
